gold_id,analysis_project_name,gold_analysis_project_type,its_analysis_project_id,img_taxon_oid,genbanks,study_gold_id,project_gold_ids,,,,
Ga0007409,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome, Counting Only)",Metatranscriptome Analysis,1033639,3300003575,[],Gs0110148,Gp0072749,,,,
Ga0007410,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome, Counting Only)",Metatranscriptome Analysis,1033642,3300003574,[],Gs0110148,Gp0072750,,,,
Ga0007412,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome, Counting Only)",Metatranscriptome Analysis,1033648,3300003573,[],Gs0110148,Gp0072752,,,,
Ga0028188,"Methanosphaerula palustris E1-9c, DSM 19958",Genome Analysis (Isolate),,643348525,"[{""genbankId"": ""CP001338"", ""assemblyAccession"": ""GCA_000021965""}]",Gs0012172,Gp0000003,,,,
Ga0028539,Dictyoglomus turgidum DSM 6724,Genome Analysis (Isolate),,643348543,"[{""genbankId"": ""CP001251"", ""assemblyAccession"": ""GCA_000021645""}]",Gs0019015,Gp0000002,,,,
Ga0028670,Erwinia pyrifoliae Ep1/96,Genome Analysis (Isolate),,646564532,"[{""genbankId"": ""FP236828"", ""assemblyAccession"": ""GCA_000027265.1""}, {""genbankId"": ""FP928999"", ""assemblyAccession"": ""GCA_000027265.1""}, {""genbankId"": ""FP236829"", ""assemblyAccession"": ""GCA_000027265.1""}, {""genbankId"": ""FP236827"", ""assemblyAccession"": ""GCA_000027265""}, {""genbankId"": ""FP236842"", ""assemblyAccession"": ""GCA_000027265""}]",Gs0013189,Gp0000007,,,,
Ga0028900,Paenibacillus lautus Y412MC10,Genome Analysis (Isolate),,646311929,"[{""genbankId"": ""CP001793"", ""assemblyAccession"": ""GCA_000024685.1""}]",Gs0019293,Gp0000005,,,,
Ga0031208,Thermus aquaticus Y51MC23,Genome Analysis (Isolate),,645058872,"[{""genbankId"": ""ABVK00000000"", ""assemblyAccession"": ""GCA_000173055""}]",Gs0000034,Gp0000004,,,,
Ga0040035,Agaricus bisporus sv. burnettii JB137-s8,Genome Analysis (Isolate),,,"[{""genbankId"": ""AEOL00000000"", ""assemblyAccession"": null}]",Gs0000012,Gp0003193,,,,
Ga0050529,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558860165",Metatranscriptome mapping (other),1045962,,[],Gs0110148,Gp0072750,,,,
Ga0050530,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572100",Metatranscriptome mapping (other),1045963,,[],Gs0110148,Gp0072750,,,,
Ga0050531,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921040",Metatranscriptome mapping (other),1045964,,[],Gs0110148,Gp0072750,,,,
Ga0050532,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572102",Metatranscriptome mapping (other),1045966,,[],Gs0110148,Gp0072750,,,,
Ga0050533,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921042",Metatranscriptome mapping (other),1045967,,[],Gs0110148,Gp0072750,,,,
Ga0050534,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572150",Metatranscriptome mapping (other),1045968,,[],Gs0110148,Gp0072750,,,,
Ga0050535,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572099",Metatranscriptome mapping (other),1045969,,[],Gs0110148,Gp0072750,,,,
Ga0050536,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572101",Metatranscriptome mapping (other),1045970,,[],Gs0110148,Gp0072750,,,,
Ga0050537,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921099",Metatranscriptome mapping (other),1045971,,[],Gs0110148,Gp0072750,,,,
Ga0050538,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921018",Metatranscriptome mapping (other),1045972,,[],Gs0110148,Gp0072750,,,,
Ga0050539,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921109",Metatranscriptome mapping (other),1045973,,[],Gs0110148,Gp0072750,,,,
Ga0050540,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558860971",Metatranscriptome mapping (other),1045974,,[],Gs0110148,Gp0072750,,,,
Ga0050541,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558860968",Metatranscriptome mapping (other),1045975,,[],Gs0110148,Gp0072750,,,,
Ga0050542,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2523231013",Metatranscriptome mapping (other),1045976,,[],Gs0110148,Gp0072750,,,,
Ga0050543,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2523231025",Metatranscriptome mapping (other),1045977,,[],Gs0110148,Gp0072750,,,,
Ga0050544,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921043",Metatranscriptome mapping (other),1045978,,[],Gs0110148,Gp0072750,,,,
Ga0050545,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572128",Metatranscriptome mapping (other),1045979,,[],Gs0110148,Gp0072750,,,,
Ga0050546,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572104",Metatranscriptome mapping (other),1045980,,[],Gs0110148,Gp0072750,,,,
Ga0050547,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2523231010",Metatranscriptome mapping (other),1045981,,[],Gs0110148,Gp0072750,,,,
Ga0050548,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921017",Metatranscriptome mapping (other),1045982,,[],Gs0110148,Gp0072750,,,,
Ga0050549,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921041",Metatranscriptome mapping (other),1045983,,[],Gs0110148,Gp0072750,,,,
Ga0050550,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558860160",Metatranscriptome mapping (other),1045984,,[],Gs0110148,Gp0072750,,,,
Ga0050551,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921005",Metatranscriptome mapping (other),1045985,,[],Gs0110148,Gp0072750,,,,
Ga0050552,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558309151",Metatranscriptome mapping (other),1045987,,[],Gs0110148,Gp0072750,,,,
Ga0050553,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921676",Metatranscriptome mapping (other),1045988,,[],Gs0110148,Gp0072750,,,,
Ga0050554,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572103",Metatranscriptome mapping (other),1045989,,[],Gs0110148,Gp0072750,,,,
Ga0050555,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572149",Metatranscriptome mapping (other),1045990,,[],Gs0110148,Gp0072750,,,,
Ga0050556,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2546825533",Metatranscriptome mapping (other),1045991,,[],Gs0110148,Gp0072750,,,,
Ga0050557,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921095",Metatranscriptome mapping (other),1045992,,[],Gs0110148,Gp0072750,,,,
Ga0050558,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921112",Metatranscriptome mapping (other),1045993,,[],Gs0110148,Gp0072750,,,,
Ga0050559,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558860141",Metatranscriptome mapping (other),1045994,,[],Gs0110148,Gp0072750,,,,
Ga0050560,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572155",Metatranscriptome mapping (other),1045995,,[],Gs0110148,Gp0072750,,,,
Ga0050561,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 3300001305",Metatranscriptome mapping (other),1045996,,[],Gs0110148,Gp0072750,,,,
Ga0050562,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 3300001205",Metatranscriptome mapping (other),1045997,,[],Gs0110148,Gp0072750,,,,
Ga0050699,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558860165",Metatranscriptome mapping (other),1046142,,[],Gs0110148,Gp0072749,,,,
Ga0050700,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572100",Metatranscriptome mapping (other),1046143,,[],Gs0110148,Gp0072749,,,,
Ga0050701,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921040",Metatranscriptome mapping (other),1046144,,[],Gs0110148,Gp0072749,,,,
Ga0050702,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572102",Metatranscriptome mapping (other),1046146,,[],Gs0110148,Gp0072749,,,,
Ga0050703,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921042",Metatranscriptome mapping (other),1046147,,[],Gs0110148,Gp0072749,,,,
Ga0050704,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572150",Metatranscriptome mapping (other),1046148,,[],Gs0110148,Gp0072749,,,,
Ga0050705,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572099",Metatranscriptome mapping (other),1046149,,[],Gs0110148,Gp0072749,,,,
Ga0050706,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572101",Metatranscriptome mapping (other),1046150,,[],Gs0110148,Gp0072749,,,,
Ga0050707,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921099",Metatranscriptome mapping (other),1046151,,[],Gs0110148,Gp0072749,,,,
Ga0050708,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921018",Metatranscriptome mapping (other),1046152,,[],Gs0110148,Gp0072749,,,,
Ga0050709,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921109",Metatranscriptome mapping (other),1046153,,[],Gs0110148,Gp0072749,,,,
Ga0050710,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558860971",Metatranscriptome mapping (other),1046154,,[],Gs0110148,Gp0072749,,,,
Ga0050711,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558860968",Metatranscriptome mapping (other),1046155,,[],Gs0110148,Gp0072749,,,,
Ga0050712,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2523231013",Metatranscriptome mapping (other),1046156,,[],Gs0110148,Gp0072749,,,,
Ga0050713,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2523231025",Metatranscriptome mapping (other),1046157,,[],Gs0110148,Gp0072749,,,,
Ga0050714,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921043",Metatranscriptome mapping (other),1046158,,[],Gs0110148,Gp0072749,,,,
Ga0050715,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572128",Metatranscriptome mapping (other),1046159,,[],Gs0110148,Gp0072749,,,,
Ga0050716,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572104",Metatranscriptome mapping (other),1046160,,[],Gs0110148,Gp0072749,,,,
